Date,Open,Close,High,Low,RSI
2014-09-02,1.98,1.94,1.98,1.91,63.50794706
2014-09-03,1.97,1.95,1.98,1.94,64.40638542
2014-09-04,1.97,1.97,2.01,1.96,66.19879342
2014-09-05,1.97,2.02,2.02,1.96,70.23436147
2014-09-08,2.02,2.03,2.06,2.01,70.9805965
2014-09-09,2.03,1.98,2.04,1.97,62.53828994
2014-09-10,1.98,1.98,1.99,1.94,62.53828994
2014-09-11,1.96,1.99,1.99,1.93,63.54403844
2014-09-12,1.98,1.91,1.98,1.9,51.607257
2014-09-15,1.92,1.84,1.93,1.84,43.84595322
2014-09-16,1.84,1.94,1.95,1.83,54.39716602
2014-09-17,1.95,1.99,2.02,1.95,58.5871392
2014-09-18,2.01,2.07,2.07,1.99,64.24734671
2014-09-19,2.09,2,2.09,1.98,56.91689022
2014-09-22,1.98,1.92,1.99,1.91,49.90837693
2014-09-23,1.89,1.91,1.95,1.88,49.09458565
2014-09-24,1.92,1.98,1.98,1.92,54.66692422
2014-09-25,1.97,1.87,1.97,1.85,46.1227841
2014-09-26,1.9,1.93,1.95,1.9,50.65327542
2014-09-29,1.87,1.94,1.96,1.87,51.38698826
2014-09-30,1.95,1.89,1.95,1.88,47.57784552
2014-10-01,1.89,1.76,1.89,1.74,39.40016479
2014-10-02,1.75,1.73,1.75,1.63,37.78610331
2014-10-03,1.78,1.75,1.79,1.73,39.56362086
2014-10-06,1.77,1.71,1.78,1.68,37.2701048
2014-10-07,1.69,1.61,1.7,1.61,32.23851253
2014-10-08,1.62,1.72,1.73,1.57,41.58125576
2014-10-09,1.72,1.58,1.72,1.58,34.97226331
2014-10-10,1.45,1.26,1.45,1.21,25.13746009
2014-10-13,1.26,1.17,1.3,1.17,23.16440044
2014-10-14,1.24,1.24,1.31,1.21,27.9042924
2014-10-15,1.17,1.26,1.28,1.14,29.24726099
2014-10-16,1.2,1.31,1.34,1.19,32.62613945
2014-10-17,1.39,1.34,1.41,1.34,34.64291659
2014-10-20,1.34,1.41,1.41,1.32,39.21510009
2014-10-21,1.46,1.56,1.57,1.44,47.66415498
2014-10-22,1.59,1.5,1.61,1.49,44.97141948
2014-10-23,1.55,1.56,1.58,1.54,48.12733276
2014-10-24,1.56,1.61,1.62,1.56,50.6664489
2014-10-27,1.58,1.63,1.64,1.56,51.68520174
2014-10-28,1.65,1.7,1.7,1.64,55.17424829
2014-10-29,1.69,1.71,1.72,1.65,55.66678932
2014-10-30,1.69,1.65,1.69,1.58,51.97652072
2014-10-31,1.78,1.84,1.86,1.78,60.83147055
2014-11-03,1.87,1.88,1.9,1.84,62.40318836
2014-11-04,1.86,1.86,1.89,1.81,61.08336757
2014-11-05,1.9,1.92,1.92,1.85,63.5724758
2014-11-06,1.89,1.87,1.9,1.83,60.12150105
2014-11-07,1.87,1.81,1.88,1.77,56.18035047
2014-11-10,1.83,1.85,1.86,1.8,58.1499703
2014-11-11,1.87,1.84,1.87,1.82,57.45468405
2014-11-12,1.81,1.83,1.84,1.8,56.72427228
2014-11-13,1.85,1.84,1.89,1.82,57.30874723
2014-11-14,1.82,1.88,1.89,1.79,59.65592489
2014-11-17,1.86,1.86,1.87,1.81,57.94060633
2014-11-18,1.87,1.96,1.98,1.87,63.57947626
2014-11-19,1.97,1.93,1.97,1.9,60.93988526
2014-11-20,1.88,1.98,1.98,1.87,63.64866383
2014-11-21,2.05,2.04,2.06,2,66.63852589
2014-11-24,2.05,2.1,2.11,2.04,69.35310176
2014-11-25,2.12,2.1,2.12,2.09,69.35310176
